id,url,operation,state,location_id,ubication__latitude,ubication__longitude,ubication__hasHiddenAddress,ubication__administrativeAreaLevel1,ubication__administrativeAreaLevel2,ubication__administrativeAreaLevel3,ubication__administrativeAreaLevel4,commercialDataId,price raw,house type,extendedPropertyType,constructedArea,usableArea,plotOfLand,roomNumber,bathNumber,isInTopFloor,isDuplex,flatLocation,isStudio,agencyIsABank,isPenthouse,energyCertificationType,energyPerformance,status,lift,isAuction,boxroom,swimmingPool,chimney,garden,communityCosts,heaterType1,heaterType2,construction year,manyFloors,orientation,terrace,has garage,garage price,floorNumber,air conditioning
96115698,https://www.idealista.com/inmueble/96115698/,sale,inactive,0-EU-ES-14-03-001-021-08-002,37.914253,-4.7913766,True,Córdoba,Córdoba,Brillante - Trassierra - Naranjo,Brillante,130003250,510000,chalet,independantHouse,450,400,1250,6,4,False,False,,False,False,False,unknown,,good,False,False,True,True,,True,2,individual,,,,,True,True,,,True
96117610,https://www.idealista.com/inmueble/96117610/,sale,inactive,0-EU-ES-14-03-001-021-04-003,37.892991,-4.7533542,True,Córdoba,Córdoba,Levante - Lepanto - Fátima,El Cairo,260367045,139000,flat,,80,,,3,1,False,False,external,False,False,False,inProcess,,good,False,False,,,,,,individual,,,,,True,,,Planta 1ª,True
96117656,https://www.idealista.com/inmueble/96117656/,sale,inactive,0-EU-ES-14-03-001-021-09-003,37.88038,-4.78823,True,Córdoba,Córdoba,Zoco - Poniente - Vistalegre,Vistalegre - Parque Cruz - Universidades,260367045,260000,flat,,136,,,4,2,False,False,external,False,False,False,inProcess,,good,True,False,,,,,,central,,,,,True,True,,Planta 2ª,True
96119648,https://www.idealista.com/inmueble/96119648/,sale,inactive,0-EU-ES-14-03-001-021-03-003,37.8995975,-4.7782897,True,Córdoba,Córdoba,Santa Rosa - Valdeolleros,Valdeolleros - Zumbacón - Camping,260364081,115000,flat,,79,70,,3,1,False,False,external,False,False,False,unknown,,good,True,False,False,False,,False,70,no,,,,,,,,Bajo,True
96120590,https://www.idealista.com/inmueble/96120590/,sale,inactive,0-EU-ES-14-03-001-021-08-001,37.963,-4.874269,False,Córdoba,Córdoba,Brillante - Trassierra - Naranjo,Trassierra - Las Jaras,,80000,countryHouse,countryHouse,100,95,6000,3,1,False,False,,False,False,False,a,,good,False,False,False,True,,False,25,central,,,,,,,,,True
96122560,https://www.idealista.com/inmueble/96122560/,sale,inactive,0-EU-ES-14-03-001-021-01-005,37.8948727,-4.7746968,True,Córdoba,Córdoba,Centro - Casco Histórico,San Cayetano,130163186,149000,flat,,126,,,3,2,False,False,external,False,False,False,inProcess,,good,False,False,True,,,,,,,,,,,,,Planta 1ª,True
96123183,https://www.idealista.com/inmueble/96123183/,sale,inactive,0-EU-ES-14-03-001-021-01-006,37.8871385,-4.7829296,True,Córdoba,Córdoba,Centro - Casco Histórico,El Vial - Ronda de Tejares,130163186,276000,flat,,142,,,3,2,False,False,external,False,False,False,inProcess,,good,True,False,,,,,,,,,,,,,,Planta 4ª,True
96125487,https://www.idealista.com/inmueble/96125487/,sale,inactive,0-EU-ES-14-03-001-021-10-001,37.8629764,-4.7694287,True,Córdoba,Córdoba,Campo de la Verdad,Campo de la Verdad,260376586,125000,chalet,,100,90,140,2,1,False,False,,False,False,False,inProcess,,good,False,False,False,False,,False,,,,,,,,True,,,True
96125507,https://www.idealista.com/inmueble/96125507/,sale,inactive,0-EU-ES-14-03-001-021-03-003,37.8965607,-4.7744385,True,Córdoba,Córdoba,Santa Rosa - Valdeolleros,Valdeolleros - Zumbacón - Camping,260376586,99000,flat,,89,80,,3,1,False,False,external,False,False,False,inProcess,,good,False,False,False,False,,False,,,,1970,,,True,,,,True
96126546,https://www.idealista.com/inmueble/96126546/,sale,inactive,0-EU-ES-14-03-001-021-01-005,37.8930613,-4.7713025,False,Córdoba,Córdoba,Centro - Casco Histórico,San Cayetano,,157000,flat,,85,,,4,1,False,False,external,False,False,False,unknown,,good,True,False,True,False,,False,,,,,,,,,,Planta 1ª,
