id,url,operation,state,location_id,ubication__latitude,ubication__longitude,ubication__hasHiddenAddress,ubication__administrativeAreaLevel1,ubication__administrativeAreaLevel2,ubication__administrativeAreaLevel3,ubication__administrativeAreaLevel4,commercialDataId,price raw,house type,extendedPropertyType,constructedArea,usableArea,plotOfLand,roomNumber,bathNumber,isInTopFloor,isDuplex,flatLocation,isStudio,agencyIsABank,isPenthouse,energyCertificationType,energyPerformance,status,lift,isAuction,boxroom,swimmingPool,chimney,garden,communityCosts,heaterType1,heaterType2,construction year,manyFloors,orientation,terrace,has garage,garage price,floorNumber,air conditioning
112029409,https://www.idealista.com/inmueble/112029409/,sale,Córdoba,Córdoba,37.8793667,-4.7928468,True,,,Ciudad Jardín,Ciudad Jardín,,,,flat,58.0,,,1,1,,False,,False,,,,,good,False,,,,,,,,,,,,,False,,,
112278170,https://www.idealista.com/inmueble/112278170/,sale,Córdoba,Córdoba,37.9080207,-4.780091,True,,,Brillante - Trassierra - Naranjo,Naranjo - Mirabueno,,,,flat,58.0,,,2,1,,False,,False,,,,,good,False,,,,,,,,,,,,,False,,,
112058883,https://www.idealista.com/inmueble/112058883/,sale,Córdoba,Córdoba,37.8719319,-4.7913242,True,,,Zoco - Poniente - Vistalegre,Vistalegre - Parque Cruz - Universidades,,,,flat,89.0,,,3,1,,False,,False,,,,,good,True,,,,,,,,,,,,,False,,2,
111877624,https://www.idealista.com/inmueble/111877624/,sale,Córdoba,Córdoba,37.8650607,-4.7765257,False,,,Sector sur - Santa Cruz,Sector sur - Santa Cruz,,,,flat,60.0,,,3,1,,False,,False,,,,,good,True,,,,,,,,,,,,,False,,3,
110507606,https://www.idealista.com/inmueble/110507606/,sale,Córdoba,Córdoba,37.8924254,-4.7613531,True,,,Levante - Lepanto - Fátima,La Viñuela,,,,penthouse,90.0,,,3,2,,False,,False,,,,,good,True,,,,,,,,,,,,,True,,3,
111220503,https://www.idealista.com/inmueble/111220503/,sale,Córdoba,Córdoba,37.9169389,-4.7897357,True,,,Brillante - Trassierra - Naranjo,Brillante,,,,independantHouse,594.0,,,5,4,,False,,False,,,,,good,,,,,,,,,,,,,,True,,,
110539295,https://www.idealista.com/inmueble/110539295/,sale,Córdoba,Córdoba,37.8830977,-4.7816554,True,,,Centro - Casco Histórico,Centro,,,,duplex,50.0,,,1,1,,True,,False,,,,,good,False,,,,,,,,,,,,,False,,bj,
111770497,https://www.idealista.com/inmueble/111770497/,sale,Córdoba,Córdoba,37.8953279,-4.7613256,True,,,Levante - Lepanto - Fátima,Levante,,,,flat,66.0,,,3,1,,False,,False,,,,,good,False,,,,,,,,,,,,,False,,,
111951888,https://www.idealista.com/inmueble/111951888/,sale,Córdoba,Córdoba,37.8810231,-4.7907738,True,,,Ciudad Jardín,Ciudad Jardín,,,,flat,55.0,,,2,1,,False,,False,,,,,good,True,,,,,,,,,,,,,False,,,
111832790,https://www.idealista.com/inmueble/111832790/,sale,Córdoba,Córdoba,37.8862482,-4.774462,True,,,Centro - Casco Histórico,Casco Histórico - Ollerías - Marrubial,,,,terracedHouse,118.0,,,4,2,,False,,False,,,,,good,,,,,,,,,,,,,,False,,,
111223346,https://www.idealista.com/inmueble/111223346/,sale,Córdoba,Córdoba,37.8846962,-4.7798828,True,,,Centro - Casco Histórico,Centro,,,,penthouse,272.0,,,5,4,,False,,False,,,,,good,True,,,,,,,,,,,,,True,,4,
